id;abteilung;kommentar
E01;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E02;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E03;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E04;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E05;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E06;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E07;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E08;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E09;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E10;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E11;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E12;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E13;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
E14;IT;Wir hätten mehr Zeit für die Migration des Bestandssystems gebraucht, der Zeitplan war unrealistisch geplant.
E15;Vertrieb;Die Schulung war gut organisiert, aber die Übungen waren zu kurz und oberflächlich für den Alltag.
