theme_label,tier,occurrence,consistency,keywords,description
"Coaching Scaffolding and Goal Setting",high,3,1,"goal-setting; feedback; reflection; confidence survey; goal agreed; specific feedback; student-centred; recap","Coaching sessions consistently involve identifying student-centred goals, sharing resources or strategies, and giving specific feedback, which supports teachers in shifting toward dialogic practice."
"Coaching through observation and specific feedback",high,3,1,"video observation; specific feedback; goal setting; coaching; goal; feedback; impact; video analysis","Coaches use video analysis and targeted feedback to identify progress and set goals, enabling focused and effective coaching conversations that support teachers in implementing dialogic strategies."
"Coaching strategies for enabling student talk and dialogic practice",high,3,1,"think-pair-share; mixed ability; scaffolding; revoicing; sentence frames; time limits; participation; dialogic","Coaches provide concrete scaffolds such as sentence frames, pre-teaching of key vocabulary, and structured activities (e.g., gallery walks, sticky notes) to activate student talk and higher-order thinking. These strategies aim to shift classroom dynamics from teacher-led exposition to student-centered dialogue."
"Adoption of Dialogic Questioning Strategies",high,3,1,"dialogic questioning; student talk; prompts; reasoning; wait time; cold call; questioning; dialogic","Teachers are explicitly deploying open-ended, student-centered questions to stimulate discussion and reasoning in the STEM lesson, indicating uptake of dialogic teaching techniques."
"Language as a Barrier to STEM and Dialogic Participation",high,3,1,"language barrier; English proficiency; vocabulary; STEM mastery; time; translation; cognitive load; attendance","Teachers identify that students' limited English vocabulary and comprehension impede their ability to engage in STEM reasoning and dialogic talk, raising questions about the role of language proficiency in STEM mastery."
"Language Barriers and Translation Dependency",high,3,1,"translation; English confidence; language barrier; native language; not confident; English; elicitation; comprehension","Teachers and students struggle with English proficiency, leading to reliance on native language translation when comprehension stalls, which hinders dialogic talk in English."
"Persistent pedagogical barriers: teacher-centered habits and competing priorities",high,3,1,"English proficiency; barrier; teacher-led; control; exams; lesson planning; time constraints; attendance","Barriers include ingrained teacher-led practices, lack of deep reflection on reasons for change, and time constraints from exams or lesson planning that divert focus from dialogic strategies."
"Barriers to implementation and student understanding in dialogic lessons",high,3,1,"exams; interruption; lesson planning; focus; time overrun; abstract metaphor; confusion; dominating students","Despite coaching efforts, teachers encounter persistent difficulties when implementing dialogic strategies, such as low student comprehension, reliance on teacher talk, and failure to achieve learning objectives. These barriers reveal gaps between intended dialogic practice and actual classroom outcomes."
"Pedagogical Barriers: Diverse Student Needs and Curriculum Constraints",high,3,1,"diverse learning pace; inclusivity; curriculum goals; barrier; barriers; diverse learning paces","Teachers face challenges in managing groups with diverse learning paces and ensuring inclusivity while meeting rigid curriculum goals, which can hinder effective dialogic talk and student engagement."
"Language and confidence barriers in student talk",moderate,2,0.6667,"improvement; confidence; peer; outside; English proficiency; language barrier; hesitation; English","Students predominantly use Malay or Iban, with only a few attempting full English responses, indicating low confidence and limited English production during dialogic activities."
"Student Talk and Engagement Outcomes",moderate,2,0.6667,"active engagement; gallery walk; sticky notes; higher-order thinking; walkie-talkie; engagement; student voice; creativity","The use of dialogic strategies leads to observable increases in student participation, including quieter students speaking more, more hands raised, and extended opportunities for English use outside the classroom."
