theme_label,tier,evidence_type,text,source_reference,similarity_score,seed
"Professional development, coaching and reflective self-assessment",high,Retrieved Source Evidence,"Healery Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.




It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.




It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1otsTqfE2ZqYQePcsU9zYsC5jzeQXcdmAqJeCf1fNG74/edit?usp=drivesdk",Row 5 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.549,
"Professional development, coaching and reflective self-assessment",high,Retrieved Source Evidence,"Carolyn Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.


It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1MLBl_UTZNCaief3rq-Db58KJ9PiP5Jg8gV_Q8wXThrM/edit?usp=drivesdk",Row 15 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.538,
"Professional development, coaching and reflective self-assessment",high,Retrieved Source Evidence,"Anthony Baseline information; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.H; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.

It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.A) Getting students to explain a concept in their own words in English.B) Helping students use reasoning language to develop thinking.C) Planning talk activities that build understanding of concepts	.D) Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.E) Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/14NigJYAuTeQwM13GM7V6ypquL_DbgK3tGKNv8WC0MOs/edit?usp=drivesdk",Row 55 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.538,
"Shift from teacher-centred to dialogic, talk-based pedagogy",high,Retrieved Source Evidence,"application/vnd.google-apps.document; Coaching Conversation Summary:Strategies Used or Attempted by Habib
Dialogic Teaching: Following specific steps and modeling techniques to encourage classroom talk.Wait Time Cards: Using physical cards to track and enforce one-minute wait times for ""what"" and ""why"" questions to keep the lesson on plan and prevent certain students from monopolizing the class.Visual Vocabulary Board: Maintaining a list of key mathematical terms in English (e.g., fraction, numerator, denominator) on the side; Coaching Conversation Summary:Strategies Used or Attempted by Habib
Dialogic Teaching: Following specific steps and modeling techniques to encourage classroom talk.Wait Time Cards: Using physical cards to track and enforce one-minute wait times for ""what"" and ""why"" questions to keep the lesson on plan and prevent certain students from monopolizing the class.Visual Vocabulary Board: Maintaining a list of key mathematical terms in English (e.g., fraction, numerator, denominator) on the side of the whiteboard as a constant reference.
Walkie-Talkies: Introducing walkie-talkies to allow shy or less confident students to participate by speaking into the device from a separate space.
Color Wheel/Spinner: Using a digital wheel to randomly select students to speak, ensuring broader participation.
""I Do, We Do, You Do"": A phased approach to instruction that includes teacher modeling, group work, and independent practice.
Differentiated Worksheets: Providing exercises with varying level; https://docs.google.com/document/d/1xY9WLhzGCkqVs8JphTT3Krtu79Bq8NBWQHWJMnyTwKg/edit?usp=drivesdk",Row 60 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.501,
"Shift from teacher-centred to dialogic, talk-based pedagogy",high,Retrieved Source Evidence,"Photo from Crlyne_🌸.jpg; Student Confidence Survey
I often speak English at home.
I often speak English outside of the classroom and around the...
If I don't understand my teacher will usually translate for me.
My teacher always checks that I understand what they have...
I often talk with other students to share ideas.
My teacher gives me enough 'thinking time'.
My teacher asks me questions I can answer.
I enjoy English lessons.
I feel confident speaking during English lessons
0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100; Student Confidence Survey
I often speak English at home.
I often speak English outside of the classroom and around the...
If I don't understand my teacher will usually translate for me.
My teacher always checks that I understand what they have...
I often talk with other students to share ideas.
My teacher gives me enough 'thinking time'.
My teacher asks me questions I can answer.
I enjoy English lessons.
I feel confident speaking during English lessons
0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
:(not confident 1:| reasonably confident
:) very confident; https://drive.google.com/file/d/1UlE7Y9QeyfoHcG7gNyovKLhLcthS6nRT/view?usp=drivesdk",Row 68 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.495,
"Shift from teacher-centred to dialogic, talk-based pedagogy",high,Retrieved Source Evidence,"Healery Maths Showcase.pptx; application/vnd.openxmlformats-officedocument.presentationml.presentation; --- Slide 1 ---
Maths Classroom Intervention Showcase

The Action

What was happening before you did this?
Before the coaching and PD I was teaching in a more teacher centred way. I was giving an explanation of the method. Sometimes I used  materials such as powerpoint slides, video and real object (related to topic) to introduce the topic especially for the new topic. I used to give questions to individuals to solve, some pair work and then I would choose students to solve on the main whiteboar; --- Slide 1 ---
Maths Classroom Intervention Showcase

The Action

What was happening before you did this?
Before the coaching and PD I was teaching in a more teacher centred way. I was giving an explanation of the method. Sometimes I used  materials such as powerpoint slides, video and real object (related to topic) to introduce the topic especially for the new topic. I used to give questions to individuals to solve, some pair work and then I would choose students to solve on the main whiteboard and the rest of the students were also solving the exercise given. Then the chosen students explained their solution to the whole class.
What prompted the change:
I wanted to boost their confidence and improve their speaking skills when explaining and communicating with their friends in Math lesson.
 

Healery: Ng Ajau

Think-Pair-Share

--- Slide 2 ---
Maths Classroom Intervention Showcase

Impact: The Effect of Think-Pair-share

Key Observable Results:
Many positive things I have seen; https://docs.google.com/presentation/d/1GVSeTE0mM33h5QPP3dV7N7P9XlGXIPlE/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 6 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.448,
Lack of lesson clarity and structure,high,Retrieved Source Evidence,"Habib Lesson Notes Tue 18th August; application/vnd.google-apps.document; NOTES
Lesson started at 9.00
Not sure the Lesson Objective is clear to students.  I am not sure, without referring to the plan.  It’s not referred to again.

Starter activity:  quick sums (timed) children carry out some multiplication sums on a small worksheet.  Most children manage at least half the sums, some complete in time. 

9:12 Habib demonstrating minute hand using a clock.  
Children are in mixed ability groups although weaker students seem to be at the back.
Questions mostly teacher-st; NOTES
Lesson started at 9.00
Not sure the Lesson Objective is clear to students.  I am not sure, without referring to the plan.  It’s not referred to again.

Starter activity:  quick sums (timed) children carry out some multiplication sums on a small worksheet.  Most children manage at least half the sums, some complete in time. 

9:12 Habib demonstrating minute hand using a clock.  
Children are in mixed ability groups although weaker students seem to be at the back.
Questions mostly teacher-student but not many questions yet.
Laminated timetables handed out, which may be used later in the lesson.Some students are not looking at board but this is not addressed.

ACTIVITY 1:  Children work together in mixed ability groups to find answers to questions about minutes / seconds.  On one table some children seem consistently hard to engage, not all the children get the answer of 120 seconds.

More questions from Habib directed at groups to consolidate – articulated well but maybe could be; https://docs.google.com/document/d/1Ai9JC7DO0uGQVGw9FxYnWF59asNzDNMWC3-u1EcJUAY/edit?usp=drivesdk",Row 2 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.546,
Lack of lesson clarity and structure,high,Retrieved Source Evidence,"Lesson Plan on 14.05.2026 Strategies 3.pdf; application/pdf; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be abl; Lesson Plan for Programme STEM CfBT & LEDC Teacher : Carolyne Anak Thunderbirds 
Learning Strategies 3 : 
Using Phone Call As a Medium Focus Toward Equitable Participation AndReal Time Formative Assesment 
Date
 14 May 2026
Class
 Year 4A
Topic
 Animals
Activity
 Think Pair Share Phone Call
Subject
 Science (DLP)
Content Standard
 Understand characteristics of animals. 
Learning
 Standard Describe animals and their characteristics. 
Learning
Objective
By the end of the lesson, pupils will be able to: 1. Ask and answer simple questions about animals. 
2. Describe at least 3 animal characteristics correctly. 
Success
 Criteria Pupils can: 
1. Ask questions confidently. 
2. Answer using simple correct sentences. 
Teaching
 Aids ✔ mobile phone prop 
✔ Projector to show the slide ✔ Question already compile in slide
HOTS
 Communication and describing skills. 
Cross CurricularElement
✔ Speaking and listening skills. ✔ Moral Value 
 
✔ Confidence and cooperation. 
Assessment
 Teacher observes; https://drive.google.com/file/d/11so6bXnvWZx7kQhvQeF73rgPsn1eDnCc/view?usp=drivesdk",Row 65 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.504,
Lack of lesson clarity and structure,high,Retrieved Source Evidence,"Joshua Baseline; application/vnd.google-apps.document; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.; Baseline scores from April.    Scores are based on 1 - 4  Emerging: 1. / Evolving: 2 /  Embedding: 3 /  Excelling: 4
The 5 domains are:Domain 1: Dialogic Teaching.Domain 2: Use of English for InstructionDomain 3: Assessment for Learning.Domain 4: Reflective Practice.Domain 5: Leading Professional Development.



It is not expected that you progress in everything.  Sometimes, the more we learn, the more we feel that we know less.  That’s because we are more aware of what we are doing.Here are the skills you self-assessed against.Getting students to explain a concept in their own words in English.Helping students use reasoning language to develop thinking.Planning talk activities that build understanding of concepts	.Knowing which vocabulary to pre-teach before a lesson and how to teach it through talk.Helping students write or speak about ideas  with structure.; https://docs.google.com/document/d/1DcYI6ShQJBBenwxca5OU5jm6x_rZW2SHw_HV45neMUc/edit?usp=drivesdk",Row 34 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.472,
Curriculum-Standard Alignment in Lesson Structuring,high,Retrieved Source Evidence,"Healery Maths LP 6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1_u_fAnhis-VR0XT03qq5CXzV0zUskOwA/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 14 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.456,
Curriculum-Standard Alignment in Lesson Structuring,high,Retrieved Source Evidence,"Slide Presentation for CfBT.pdf; application/pdf; CAROLYNE ANAK THUNDERBIRDS SK NANGA AJAU 
Session Learning Objectives 
The 'Why' 
Connect the 
Malaysian Ministry of Education's macro-goals (DSTIN 2021-2030) to daily classroom impact. 
The 'What' 
Deconstruct the 7 core characteristics of STEM pedagogy and the evolving role of the teacher. 
The 'How' 
• Implement concrete, step-by-step inquiry activities (PBL) and real-time formative 
assessment tools. 
NotebookLM 
The Macro Vision: Policy Meets the Future 
National Policy 
DSTIN 2021-2030 (ST; CAROLYNE ANAK THUNDERBIRDS SK NANGA AJAU 
Session Learning Objectives 
The 'Why' 
Connect the 
Malaysian Ministry of Education's macro-goals (DSTIN 2021-2030) to daily classroom impact. 
The 'What' 
Deconstruct the 7 core characteristics of STEM pedagogy and the evolving role of the teacher. 
The 'How' 
• Implement concrete, step-by-step inquiry activities (PBL) and real-time formative 
assessment tools. 
NotebookLM 
The Macro Vision: Policy Meets the Future 
National Policy 
DSTIN 2021-2030 (STIE Framework) 
Transitioning Malaysia into a high-tech, innovation-led nation by strengthening local R&D and developing an adaptive STEM talent pool. 
Your classroom practice directly fuels the nation's innovation economy. 
Micro Impact 
High-Demand Jobs by 2026 
Equipping students for future careers. Key growth roles: 
• Al Engineer 
Cybersecurity Engineer 
• Big Data Analyst 
• Blockchain Developer 
A NotebookLM 
The 7 Characteristics of STEM Pedagogy 
Solve 
real-world 
Utilize inquiry and pr; https://drive.google.com/file/d/1wYaxw5u05e1ouuURu6ucO__yWI0CZBYu/view?usp=drivesdk",Row 22 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.444,
Curriculum-Standard Alignment in Lesson Structuring,high,Retrieved Source Evidence,"Healery Maths LP Edited version Division  6 JULAI 2026 [MON].docx; application/vnd.openxmlformats-officedocument.wordprocessingml.document; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number wi; DAY
DATE


SUBJECT
CLASS

TIME


MONDAY
06
07
2026
MT
4A

0700
0800
60 MINUTES







0930
1000
30 MINUTES
Learning Area

Numbers And Operations







Topic

2.0 Fractions, Decimals And Percentages







Content Standard

2.2 Decimals







Learning Standard

2.2.4. Divide decimals by one-digit number, 10, 100 and 1000, and the quotient up to three decimal places.







Learning Objektive

At the end of the lesson, 20/26 pupils are able to;
correctly divide decimals by a one-digit number with at least 4 out of 5 correct answers.







Success Criteria

Identify and explain key vocabulary related to decimal division.
Divide decimals by a one-digit number correctly.
Place the decimal point accurately in the quotient.
Explain the steps used to solve decimal division problems.







Pdpc Activities

SESSION 1 (60 MINUTES | 0700 – 0800)
Introduction to the Topic (5 Minutes)
The teacher introduces the lesson and displays the following mathematical vocabulary and definitions on whitebo; https://docs.google.com/document/d/1Tc7V-Qt5Refh4tC97-dQYk5iR_zvb5JP/edit?usp=drivesdk&ouid=113312012650990484132&rtpof=true&sd=true",Row 13 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.437,
Uneven engagement in mixed-ability groupings,high,Retrieved Source Evidence,"Habib Lesson Notes Tue 18th August; application/vnd.google-apps.document; NOTES
Lesson started at 9.00
Not sure the Lesson Objective is clear to students.  I am not sure, without referring to the plan.  It’s not referred to again.

Starter activity:  quick sums (timed) children carry out some multiplication sums on a small worksheet.  Most children manage at least half the sums, some complete in time. 

9:12 Habib demonstrating minute hand using a clock.  
Children are in mixed ability groups although weaker students seem to be at the back.
Questions mostly teacher-st; NOTES
Lesson started at 9.00
Not sure the Lesson Objective is clear to students.  I am not sure, without referring to the plan.  It’s not referred to again.

Starter activity:  quick sums (timed) children carry out some multiplication sums on a small worksheet.  Most children manage at least half the sums, some complete in time. 

9:12 Habib demonstrating minute hand using a clock.  
Children are in mixed ability groups although weaker students seem to be at the back.
Questions mostly teacher-student but not many questions yet.
Laminated timetables handed out, which may be used later in the lesson.Some students are not looking at board but this is not addressed.

ACTIVITY 1:  Children work together in mixed ability groups to find answers to questions about minutes / seconds.  On one table some children seem consistently hard to engage, not all the children get the answer of 120 seconds.

More questions from Habib directed at groups to consolidate – articulated well but maybe could be; https://docs.google.com/document/d/1Ai9JC7DO0uGQVGw9FxYnWF59asNzDNMWC3-u1EcJUAY/edit?usp=drivesdk",Row 2 · Teacher; File name; MIME type; Excerpt; Extracted text; Drive link,0.423,
