theme_label,description,tier,occurrence,run_count,consistency,keywords,annotation_status,annotation_note
Professional development frameworks and reflective self-assessment,"A structured PD programme with five domains (Dialogic Teaching, Use of English for Instruction, Assessment for Learning, Reflective Practice, Leading Professional Development) and baseline self-assessment scores frames teachers' growth, alongside a reflective stance that increased awareness can feel like knowing less.",high,3,3,1,baseline scores; domains; reflective practice; self-assessment; coaching; professional development; coachees; program,,
Standards-Based Structured Lesson Planning,"The documents are highly formalised lesson plans organised around a hierarchical curriculum framework (Learning Area, Topic, Content Standard, Learning Standard), reflecting systematic alignment with national syllabus requirements for Year 4 mathematics.",high,3,3,1,Content Standard; Learning Standard; lesson plan; curriculum alignment; Numbers And Operations; learning objectives; success criteria; HOTS,,
Progressive Focus on Decimal Operations,"The lessons move sequentially from multiplying decimals to dividing decimals by one-digit numbers and powers of ten, showing a structured progression through decimal operations with constraints on place value (up to three decimal places).",high,3,3,1,decimal multiplication; decimal division; place value; quotient; daily life; prices; set induction; relevance,,
Dialogic teaching and use of English for instruction,"A core focus is talk-based learning in English, including students explaining concepts in their own words, using reasoning language, pre-teaching vocabulary through talk, and structuring speech and writing.",high,3,3,1,dialogic teaching; reasoning language; vocabulary; talk activities; talk; pronounce; English instruction; English,,
"Shift from teacher-centred to dialogic, talk-based pedagogy","Teachers describe moving away from teacher-centred explanation towards interventions like Think-Pair-Share and group talk activities, aiming to develop students' explanation and communication skills in Maths.",high,3,3,1,teacher centred; Think-Pair-Share; dialogic teaching; coaching; teacher-centred; confidence; speaking skills; talk activities,,
Uneven student engagement in mixed-ability groupings,"Observation notes highlight variable participation within mixed-ability groups, with weaker or disengaged children at the back, some pupils hard to engage, and off-task behaviour not always addressed by the teacher.",high,3,3,1,mixed ability groups; engagement; weaker students; not addressed; mixed ability; participation,,
Unclear lesson objectives and lesson structure,"The observer expresses uncertainty about whether the lesson objective is clear to students, noting it is not revisited during the lesson, suggesting weak objective communication and lesson framing.",high,3,3,1,lesson objective; clarity; plan; not referred to; questioning; consolidation; starter activity; demonstration,,
Quantified Mastery Outcomes and Success Criteria,"Learning objectives and success criteria are expressed in measurable, criterion-referenced terms, specifying a target proportion of pupils achieving a set accuracy threshold on a fixed number of questions.",high,3,3,1,success criteria; 20/26 pupils; mastery threshold; assessment; 4 out of 5; learning objective,,
Explicit Mathematical Vocabulary Instruction,"Considerable emphasis is placed on teaching and reinforcing technical terminology (decimal, dividend, divisor, quotient) through word searches, definition tables, and videos, treating vocabulary knowledge as a foundation for procedural fluency.",high,3,3,1,vocabulary; dividend; divisor; quotient,,
STEM pedagogy aligned to national policy and future careers,"STEM teaching is framed by Malaysia's DSTIN 2021-2030 macro-goals, with inquiry/PBL activities and formative assessment positioned as preparing students for high-demand future roles.",high,3,3,1,STEM pedagogy; DSTIN 2021-2030; inquiry; formative assessment; policy; future jobs; STEM,,
Cross-Curricular Integration of STEM and English,"The programme deliberately combines Mathematics, Science, Design and Technology (RBT), and English into a single carnival structure, delivered through a science kit loan programme at SK Nanga Ajau.",high,3,3,1,cross-curricular; DLP; English; science kit; STEM; science kit loan; carnival; booths,,
"Hands-On, Activity-Based Learning Stations","Learning is organised around timed booths and interactive challenges—puzzles, experiments, design tasks and games—where pupils actively manipulate materials rather than passively receive content.",moderate,2,3,0.6667,hands-on; booth; challenge; investigation; booths; experiment,,
English Language and Vocabulary Development Through Science,"English is embedded within science activities, with explicit objectives for pronouncing plant vocabulary, building sentences, and answering HOTS questions using appropriate vocabulary, reflecting a DLP (Dual Language Programme) context.",moderate,2,3,0.6667,vocabulary; DLP; English for Instruction; sentence building; English sentence building; HOTS,,
